Year-Month,Date,Values
2022-03,07.03.2022,2646.25
2022-03,07.03.2022,2646.25
2022-03,07.03.2022,2646.25
2022-03,07.03.2022,1378.97
2022-03,08.03.2022,1378.97
2022-03,08.03.2022,1378.97
2022-03,08.03.2022,1378.97
2022-03,08.03.2022,1378.97
2022-03,08.03.2022,1378.97
2022-03,08.03.2022,1378.97
2022-03,08.03.2022,1378.97
2022-03,08.03.2022,2646.25
2022-03,08.03.2022,2646.25
2022-03,08.03.2022,2646.25
2022-03,08.03.2022,2646.25
2022-03,08.03.2022,2646.25
2022-03,08.03.2022,2646.25
2022-03,08.03.2022,2646.25
2022-03,08.03.2022,2646.25
2022-03,08.03.2022,2646.25
2022-03,08.03.2022,2646.25
2022-03,08.03.2022,2646.25
2022-03,08.03.2022,2646.25
2022-03,08.03.2022,2646.25
2022-03,08.03.2022,2646.25
2022-03,08.03.2022,2646.25
2022-03,08.03.2022,2646.25
2022-03,08.03.2022,1378.97
2022-03,09.03.2022,1378.97
2022-03,09.03.2022,1378.97
2022-03,09.03.2022,1378.97
2022-03,09.03.2022,1378.97
2022-03,09.03.2022,1378.97
2022-03,09.03.2022,1378.97
2022-03,09.03.2022,1378.97
2022-03,09.03.2022,2646.25
2022-03,09.03.2022,2646.25
2022-03,09.03.2022,2646.25
2022-03,09.03.2022,2646.25
2022-03,09.03.2022,2646.25
2022-03,09.03.2022,2646.25
2022-03,09.03.2022,2646.25
2022-03,09.03.2022,2646.25
2022-03,09.03.2022,2646.25
2022-03,09.03.2022,2646.25
2022-03,09.03.2022,2646.25
2022-03,09.03.2022,2646.25
2022-03,09.03.2022,2646.25
2022-03,09.03.2022,2646.25
2022-03,09.03.2022,2646.25
2022-03,09.03.2022,2646.25
2022-03,09.03.2022,1378.97
2022-03,10.03.2022,1378.97
2022-03,10.03.2022,1378.97
2022-03,10.03.2022,1378.97
2022-03,10.03.2022,1378.97
2022-03,10.03.2022,1378.97
2022-03,10.03.2022,1378.97
2022-03,10.03.2022,1378.97
2022-03,10.03.2022,2646.25
2022-03,10.03.2022,2646.25
2022-03,10.03.2022,2646.25
2022-03,10.03.2022,2646.25
2022-03,10.03.2022,2646.25
2022-03,10.03.2022,2646.25
2022-03,10.03.2022,2646.25
2022-03,10.03.2022,2646.25
2022-03,10.03.2022,2646.25
2022-03,10.03.2022,2646.25
2022-03,10.03.2022,2646.25
2022-03,10.03.2022,2646.25
2022-03,10.03.2022,2646.25
2022-03,10.03.2022,2646.25
2022-03,10.03.2022,2646.25
2022-03,10.03.2022,2646.25
2022-03,10.03.2022,1378.97
2022-03,11.03.2022,1378.97
2022-03,11.03.2022,1378.97
2022-03,11.03.2022,1378.97
2022-03,11.03.2022,1378.97
2022-03,11.03.2022,1378.97
2022-03,11.03.2022,1378.97
2022-03,11.03.2022,1378.97
2022-03,11.03.2022,2646.25
2022-03,11.03.2022,2646.25
2022-03,11.03.2022,2646.25
2022-03,11.03.2022,2646.25
2022-03,11.03.2022,2646.25
2022-03,11.03.2022,2646.25
2022-03,11.03.2022,2646.25
2022-03,11.03.2022,2646.25
2022-03,11.03.2022,2646.25
2022-03,11.03.2022,2646.25
2022-03,11.03.2022,2646.25
2022-03,11.03.2022,2646.25
2022-03,11.03.2022,2646.25
2022-03,11.03.2022,2646.25
2022-03,11.03.2022,2646.25
2022-03,11.03.2022,2646.25
2022-03,11.03.2022,1378.97
2022-03,12.03.2022,1378.97
2022-03,12.03.2022,1378.97
2022-03,12.03.2022,1378.97
2022-03,12.03.2022,1378.97
2022-03,12.03.2022,1378.97
2022-03,12.03.2022,1378.97
2022-03,12.03.2022,1378.97
2022-03,12.03.2022,2646.25
2022-03,12.03.2022,2646.25
2022-03,12.03.2022,2646.25
2022-03,12.03.2022,2646.25
2022-03,12.03.2022,2646.25
2022-03,12.03.2022,2646.25
